product_id,product_category_name,product_name_lgt,product_weight_lg,product_length_cm,product_height_cm,product_width_cm
PROD_000443,sports,Product 443,18.04,9.7,26.2,29.6
PROD_000444,computers,Product 444,13.07,27.4,27.6,26.5
PROD_000445,health,Product 445,6.35,22.3,26.1,31.6
PROD_000446,food,Product 446,5.16,44.0,3.0,23.0
PROD_000447,health,Product 447,16.4,26.4,24.0,29.6
PROD_000448,beauty,Product 448,17.61,10.0,13.5,37.7
PROD_000449,electronics,Product 449,10.56,33.5,26.5,18.2
PROD_000450,bed_bath_table,Product 450,4.96,39.7,19.9,29.8
PROD_000451,computers,Product 451,2.35,5.1,25.3,21.6
PROD_000452,bed_bath_table,Product 452,1.83,43.7,16.0,28.6
PROD_000453,beauty,Product 453,14.41,13.4,17.0,31.7
PROD_000454,bed_bath_table,Product 454,8.46,29.8,6.0,6.6
PROD_000455,fashion,Product 455,18.12,23.7,24.0,27.6
PROD_000456,toys,Product 456,14.82,37.4,13.7,12.9
PROD_000457,baby,Product 457,3.91,21.7,16.0,28.5
PROD_000458,bed_bath_table,Product 458,12.31,44.1,24.0,21.4
PROD_000459,electronics,Product 459,8.77,37.9,18.8,32.1
PROD_000460,auto,Product 460,11.59,34.1,7.6,9.3
PROD_000461,toys,Product 461,14.79,40.8,18.5,26.9
PROD_000462,home_furniture,Product 462,16.14,38.9,13.4,14.7
PROD_000463,food,Product 463,16.89,6.6,15.1,34.9
PROD_000464,health,Product 464,5.15,22.8,2.8,37.5
PROD_000465,bed_bath_table,Product 465,0.72,46.9,7.9,39.9
PROD_000466,health,Product 466,14.81,10.7,9.9,32.9
PROD_000467,health,Product 467,2.22,38.2,22.0,31.4
PROD_000468,sports,Product 468,6.37,48.9,2.3,12.5
PROD_000469,auto,Product 469,0.18,7.3,13.4,16.8
PROD_000470,home_furniture,Product 470,13.67,35.7,27.9,21.3
PROD_000471,garden,Product 471,3.43,26.1,5.1,32.1
PROD_000472,electronics,Product 472,13.14,31.1,16.5,37.0
PROD_000473,books,Product 473,19.84,8.8,24.0,11.6
PROD_000474,food,Product 474,1.55,6.9,28.4,37.3
PROD_000475,fashion,Product 475,1.63,35.0,22.9,29.3
PROD_000476,phones,Product 476,6.87,42.0,22.2,26.4
PROD_000477,phones,Product 477,17.34,40.2,25.1,12.0
PROD_000478,bed_bath_table,Product 478,4.39,29.5,14.5,6.9
PROD_000479,electronics,Product 479,7.27,9.5,24.6,24.9
PROD_000480,toys,Product 480,1.46,36.0,2.2,27.8
PROD_000481,baby,Product 481,15.29,15.9,27.9,12.4
PROD_000482,toys,Product 482,8.23,46.0,14.4,24.5
PROD_000483,home_furniture,Product 483,15.21,42.7,17.5,35.0
PROD_000484,electronics,Product 484,18.08,36.9,9.1,34.2
PROD_000485,electronics,Product 485,4.73,47.7,22.8,37.5
PROD_000486,books,Product 486,16.17,6.4,4.1,17.8
PROD_000487,books,Product 487,1.28,38.1,26.4,16.1
PROD_000488,phones,Product 488,17.99,19.9,25.2,31.2
PROD_000489,books,Product 489,13.05,45.8,8.0,20.1
PROD_000490,garden,Product 490,17.5,17.0,24.7,8.1
PROD_000491,health,Product 491,0.1,37.6,24.0,14.9
PROD_000492,books,Product 492,3.46,44.5,19.7,19.7
PROD_000493,toys,Product 493,7.86,6.9,12.5,15.2
PROD_000494,home_furniture,Product 494,7.65,22.9,9.6,16.6
PROD_000495,garden,Product 495,4.61,39.3,8.5,15.3
PROD_000496,sports,Product 496,7.69,25.5,10.9,6.5
PROD_000497,bed_bath_table,Product 497,2.66,17.0,27.3,27.3
PROD_000498,toys,Product 498,8.31,14.9,4.2,25.9
PROD_000499,fashion,Product 499,16.07,10.9,25.2,27.9
PROD_000500,baby,Product 500,9.63,43.6,11.8,11.7
